state,dollars
Connecticut,288985
Maine,68441
Massachusetts,604208
New Hampshire,89836
Rhode Island,64441
Vermont,35271
Delaware,76410
District of Columbia,148231
Maryland,434312
New Jersey,652412
New York,1751674
Pennsylvania,824603
Illinois,908913
Indiana,381733
Michigan,548567
Ohio,706764
Wisconsin,351922
Iowa,197172
Kansas,175703,
Minnesota,385907
Missouri,336816
Nebraska,129098
North Dakota,57400
South Dakota,54057
Alabama,234054
Arkansas,135255
Florida,1111378
Georgia,625329
Kentucky,217564
Louisiana,267051
Mississippi,120429
North Carolina,596383
South Carolina,249968
Tennessee,385741
Virginia,561846
West Virginia,78507
Arizona,372522
New Mexico,105263
Oklahoma,207381
Texas,1918065
Colorado,396367
Idaho,82265
Montana,52948
Utah,192013
Wyoming,39794
Alaska,55759
California,3183251
Hawaii,98536
Nevada,180406
Oregon,255418
Washington,610488
